"AcceptedSymbol","AcceptedSpecies","SynonymSymbol","Symbol","ScientificName","USDA_CName","Family","FamilyCommonName","GrowthHabit","Duration","Guild","Guild_PCLTEM","Origin"
"	ALJU","Albizia julibrissin","NA","	ALJU","Albizia julibrissin","silktree","Fabaceae","Pea family","Tree, Shrub","Perennial","woody","NA","I"
"	ASQU","Asclepias quadrifolia","NA","	ASQU","Asclepias quadrifolia","fourleaf milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","NA","N"
"	DELA2","Desmodium laevigatum ","NA","	DELA2","Desmodium laevigatum","smooth ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","NA","N"
"	MIRAB","Mirabilis","NA","	MIRAB","Mirabilis","four o'clock","Nyctaginaceae","Four o'clock family","Forb/herb, Subshrub","Perennial","forb","NA","N"
"ABTH","Abutilon theophrasti","NA","ABTH","Abutilon theophrasti","velvetleaf","Malvaceae","Mallow family","Forb/herb","Annual","forb","annual-biennial","I"
"ACALY","Acalypha","NA","ACALY","Acalypha","copperleaf","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"ACER","Acer","NA","ACER","Acer","maple","Aceraceae","Maple family","Tree","Perennial","woody","woody","N"
"ACGR2","Acalypha gracilens","NA","ACGR2","Acalypha gracilens","slender threeseed mercury","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","NA","N"
"ACHY","Achnatherum hymenoides","ORHY","ORHY","Oryzopsis hymenoides","Indian ricegrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"ACMI2","Achillea millefolium","NA","ACMI2","Achillea millefolium","common yarrow","Asteraceae","Aster family","Forb/herb","Perennial","forb","ephemeral","N"
"ACMO4","Acalypha monococca","ACGRM","ACGRM","Acalypha gracilens var. monococca","Ozarkian short-stalk copperleaf","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"ACNE2","Acer negundo","NA","ACNE2","Acer negundo","boxelder","Aceraceae","Maple family","Tree","Perennial","woody","woody","N"
"ACOS","Acalypha ostryifolia","NA","ACOS","Acalypha ostryifolia","pineland threeseed mercury","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"ACPA","Actaea pachypoda","NA","ACPA","Actaea pachypoda","white baneberry","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"ACRAR","Actaea racemosa var. racemosa","CIRA","CIRA","Cimicifuga racemosa","black bugbane","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","summer","N"
"ACRU","Acer rubrum","NA","ACRU","Acer rubrum","red maple","Aceraceae","Maple family","Tree","Perennial","woody","NA","N"
"ACRU2","Actaea rubra","NA","ACRU2","Actaea rubra","red baneberry","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"ACSA2","Acer saccharinum","NA","ACSA2","Acer saccharinum","silver maple","Aceraceae","Maple family","Tree","Perennial","woody","spring","N"
"ACSA3","Acer saccharum","NA","ACSA3","Acer saccharum","sugar maple","Aceraceae","Maple family","Tree","Perennial","woody","woody","N"
"ACTAE","Actaea","NA","ACTAE","Actaea","baneberry","Ranunculaceae","Buttercup family","Forb/herb","	Perennial","forb","spring","N"
"ACVI","Acalypha virginica","NA","ACVI","Acalypha virginica","Virginia threeseed mercury","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"ADPE","Adiantum pedatum","NA","ADPE","Adiantum pedatum","northern maidenhair","Pteridaceae","Maidenhair Fern family","Forb/herb","Perennial","fern","fern","N"
"AECY","Aegilops cylindrica","NA","AECY","Aegilops cylindrica","jointed goatgrass","Poaceae","Grass family","Graminoid","Annual","grass","coolgrass","I"
"AEGL","Aesculus glabra","NA","AEGL","Aesculus glabra","Ohio buckeye","Hippocastanaceae","Horse chestnut family","Tree","Perennial","woody","NA","N"
"AGAL5","Ageratina altissima","NA","AGAL5","Ageratina altissima","white snakeroot","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"AGAS2","Agalinis aspera","NA","AGAS2","Agalinis aspera","tall false foxglove","Scrophulariaceae","Figwort family","Forb/herb","Annual","forb","annual-biennial","N"
"AGCR","Agropyron cristatum","NA","AGCR","Agropyron cristatum","crested wheatgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","I"
"AGGA","Agalinis gattingeri","NA","AGGA","Agalinis gattingeri","roundstem false foxglove","Scrophulariaceae","Figwort family","Forb/herb","Annual","forb","annual-biennial","N"
"AGHY","Agrostis hyemalis","NA","AGHY","Agrostis hyemalis","winter bentgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"AGPE","Agrostis perennans","NA","AGPE","Agrostis perennans","upland bentgrass","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"AGPU","Agrimonia pubescens","NA","AGPU","Agrimonia pubescens","soft agrimony","Rosaceae","Rose family","Forb/herb","Perennial","forb","summer","N"
"AGRIM","Agrimonia","NA","AGRIM","Agrimonia","agrimony","Rosaceae","Rose family","Forb/herb","	Perennial","forb","summer","N"
"AGRO3","Agrimonia rostellata","NA","AGRO3","Agrimonia rostellata","beaked agrimony","Rosaceae","Rose family","Forb/herb","Perennial","forb","summer","N"
"AGSC5","Agrostis scabra","NA","AGSC5","Agrostis scabra","rough bentgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"AGTE3","Agalinis tenuifolia","NA","AGTE3","Agalinis tenuifolia","slenderleaf false foxglove","Scrophulariaceae","Figwort family","Forb/herb","Annual","forb","annual-biennial","N"
"ALCA3","Allium canadense","NA","ALCA3","Allium canadense","meadow garlic","Liliaceae","Lily family","Forb/herb","Perennial","forb","spring","N"
"ALCA4","Alopecurus carolinianus","NA","ALCA4","Alopecurus carolinianus","Carolina foxtail","Poaceae","Grass family","Graminoid","Annual","grass","coolgrass","N"
"ALDE","Alyssum desertorum","NA","ALDE","Alyssum desertorum","desert madwort","Brassicaceae","Mustard family","Forb/herb","Annual","forb","forb","I"
"ALLIU","Allium","NA","ALLIU","Allium","onion","Liliaceae","Lily family","Forb/herb","	Perennial","forb","NA","N"
"ALNUS","Alnus","NA","ALNUS","Alnus","alder","Betulaceae","Birch family","Tree","Perennial","woody","woody","N"
"ALPE4","Alliaria petiolata","NA","ALPE4","Alliaria petiolata","garlic mustard","Brassicaceae","Mustard family","Forb/herb","Annual, Biennial","forb","annual-biennial","I"
"ALST","Allium stellatum","NA","ALST","Allium stellatum","autumn onion","Liliaceae","Lily family","Forb/herb","Perennial","forb","summer","N"
"ALTE","Allium textile","NA","ALTE","Allium textile","textile onion","Liliaceae","Lily family","Forb/herb","Perennial","forb","spring","N"
"ALVI","Allium vineale","NA","ALVI","Allium vineale","wild garlic","Liliaceae","Lily family","Forb/herb","Perennial","forb","NA","I"
"AMAL","Amaranthus albus","NA","AMAL","Amaranthus albus","prostrate pigweed","Amaranthaceae","Amaranth family","Forb/herb","Annual","forb","annual-biennial","N"
"AMAR2","Ambrosia artemisiifolia","NA","AMAR2","Ambrosia artemisiifolia","annual ragweed","Asteraceae","Aster family","Forb/herb","Annual","forb","annual-biennial","N"
"AMAR3","Amelanchier arborea","NA","AMAR3","Amelanchier arborea","common serviceberry","Rosaceae","Rose family","Tree","Perennial","woody","NA","N"
"AMBI2","Ambrosia bidentata","NA","AMBI2","Ambrosia bidentata","lanceleaf ragweed","Asteraceae","Aster family","Forb/herb","Annual","forb","annual-biennial","N"
"AMBR2","Amphicarpaea bracteata","NA","AMBR2","Amphicarpaea bracteata","American hogpeanut","Fabaceae","Pea family","Forb/herb, vine","Annual, Perennial","forb","legume","N"
"AMBRO","Ambrosia","NA","AMBRO","Ambrosia","ragweed","Asteraceae","Aster family","NA","NA","forb","NA","N"
"AMCA6","Amorpha canescens","NA","AMCA6","Amorpha canescens","leadplant","Fabaceae","Pea family","Subshrub, Shrub","Perennial","forb","legume","N"
"AMDR","Amphiachyris dracunculoides","NA","AMDR","Amphiachyris dracunculoides","prairie broomweed","Asteraceae","Aster family","Forb/herb","Annual","forb","annual-biennial","N"
"AMELA","Amelanchier","NA","AMELA","Amelanchier","serviceberry","Rosaceae","Rose family","Tree","NA","woody","NA","N"
"AMFR","Amorpha fruticosa","NA","AMFR","Amorpha fruticosa","desert false indigo","Fabaceae","Pea family","Shrub","Perennial","forb","legume","N"
"AMLA","Amelanchier laevis","NA","AMLA","Amelanchier laevis","Allegheny serviceberry","Rosaceae","Rose family","Tree","Perennial","woody","NA","N"
"AMNA","Amorpha nana","NA","AMNA","Amorpha nana","dwarf false indigo","Fabaceae","Pea family","Shrub, Subshrub","Perennial","woody","NA","N"
"AMPS","Ambrosia psilostachya","NA","AMPS","Ambrosia psilostachya","Cuman ragweed","Asteraceae","Aster family","Forb/herb","Annual, Perennial","forb","summer","N"
"AMRE","Amaranthus retroflexus","NA","AMRE","Amaranthus retroflexus","redroot amaranth","Amaranthaceae","Amaranth family","Forb/herb","Annual","forb","annual-biennial","I"
"AMTR","Ambrosia trifida","NA","AMTR","Ambrosia trifida","great ragweed","Asteraceae","Aster family","Subshrub, Forb/herb","Annual","forb","annual-biennial","N"
"ANCA8","Anemone canadensis","NA","ANCA8","Anemone canadensis","Canadian anemone","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"ANCA9","Anemone caroliniana","NA","ANCA9","Anemone caroliniana","Carolina anemone","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"ANCY","Anemone cylindrica","NA","ANCY","Anemone cylindrica","candle anemone","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"ANEMO","Anemone","NA","ANEMO","Anemone","anemone","Ranunculaceae","Buttercup family","Forb/herb","	Perennial","forb","spring","N"
"ANGE","Andropogon gerardii","NA","ANGE","Andropogon gerardii","big bluestem","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"ANHA","Andropogon hallii","NA","ANHA","Andropogon hallii","sand bluestem","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"ANNE","Antennaria neglecta","NA","ANNE","Antennaria neglecta","field pussytoes","Asteraceae","Aster family","Forb/herb","Perennial","forb","spring","N"
"ANOC2","Androsace occidentalis","NA","ANOC2","Androsace occidentalis","western rockjasmine","Primulaceae","Primrose family","Forb/herb","Annual","forb","annual-biennial","N"
"ANPA4","Antennaria parvifolia","NA","ANPA4","Antennaria parvifolia","small-leaf pussytoes","Asteraceae","Aster family","Forb/herb","Perennial","forb","spring","N"
"ANPL","Antennaria plantaginifolia","NA","ANPL","Antennaria plantaginifolia","woman's tobacco","Asteraceae","Aster family","Forb/herb","Perennial","forb","spring","N"
"ANQU","Anemone quinquefolia","NA","ANQU","Anemone quinquefolia","wood anemone","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"ANVI2","Andropogon virginicus","NA","ANVI2","Andropogon virginicus","broomsedge bluestem","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"ANVI3","Anemone virginiana","NA","ANVI3","Anemone virginiana","tall thimbleweed","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","summer","N"
"APAN2","Apocynum androsaemifolium","NA","APAN2","Apocynum androsaemifolium","spreading dogbane","Apocynaceae","Dogbane family","Forb/herb","Perennial","forb","NA","N"
"APCA","Apocynum cannabinum","NA","APCA","Apocynum cannabinum","Indianhemp","Apocynaceae","Dogbane family","Forb/herb","Perennial","forb","spring","N"
"APHY","Aplectrum hyemale","NA","APHY","Aplectrum hyemale","Adam and Eve","Orchidaceae","Orchid family","Forb/herb","Perennial","forb","spring","N"
"AQCA","Aquilegia canadensis","NA","AQCA","Aquilegia canadensis","red columbine","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"ARABI2","Arabis","NA","ARABI2","Arabis","rockcress","Brassicaceae","Mustard family","Forb/herb","NA","forb","NA","N"
"ARCA","Arabis canadensis","NA","ARCA","Arabis canadensis","sicklepod","Brassicaceae","Mustard family","Forb/herb","Biennial","forb","annual-biennial","N"
"ARCA12","Artemisia campestris","NA","ARCA12","Artemisia campestris","field sagewort","Asteraceae","Aster family","Forb/herb","Biennial, Perennial","forb","summer","N"
"ARCA13","Artemisia cana","NA","ARCA13","Artemisia cana","silver sagebrush","Asteraceae","Aster family","Shrub, Subshrub","Perennial","forb","NA","N"
"ARDI4","Aristida dichotoma","NA","ARDI4","Aristida dichotoma","churchmouse threeawn","Poaceae","Grass family","Graminoid","Annual","forb","annual-biennial","N"
"ARDR3","Arisaema dracontium","NA","ARDR3","Arisaema dracontium","green dragon","Araceae","Arum family","Forb/herb","Perennial","forb","spring","N"
"ARDR4","Artemisia dracunculus","NA","ARDR4","Artemisia dracunculus","tarragon","Asteraceae","Aster family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"ARFR4","Artemisia frigida","NA","ARFR4","Artemisia frigida","prairie sagewort","Asteraceae","Aster family","Subshrub","Perennial","forb","summer","N"
"ARHI","Arabis hirsuta","NA","ARHI","Arabis hirsuta","hairy rockcress","Brassicaceae","Mustard family","Forb/herb","Annual, Biennial, Perennial","forb","spring","N"
"ARHO2","Arabis holboellii","NA","ARHO2","Arabis holboellii","Holboell's rockcress","Brassicaceae","Mustard family","Forb/herb","Biennial, Perennial","forb","spring","N"
"ARHO4","Arenaria hookeri","NA","ARHO4","Arenaria hookeri","Hooker's sandwort","Caryophyllaceae","Pink family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"ARIST","Aristida","NA","ARIST","Aristida","threeawn","Poaceae","Grass family","Graminoid","NA","grass","NA","N"
"ARLU","Artemisia ludoviciana","NA","ARLU","Artemisia ludoviciana","white sagebrush","Asteraceae","Aster family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"ARLY2","Arabis lyrata","NA","ARLY2","Arabis lyrata","lyrate rockcress","Brassicaceae","Mustard family","Forb/herb","Biennial, Perennial","forb","spring","N"
"ARMI2","Arctium minus","NA","ARMI2","Arctium minus","lesser burdock","Asteraceae","Aster family","Forb/herb","Biennial","forb","annual-biennial","I"
"ARNU2","Aralia nudicaulis","NA","ARNU2","Aralia nudicaulis","wild sarsaparilla","Araliaceae","Ginseng family","Subshrub, Forb/herb","Perennial","forb","NA","N"
"AROL","Aristida oligantha","NA","AROL","Aristida oligantha","prairie threeawn","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","N"
"ARPL4","Arnoglossum plantagineum","CAPL","CAPL","Cacalia plantaginea","Tuberous Indian plantain","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"ARPU9","Aristida purpurea","NA","ARPU9","Aristida purpurea","purple threeawn","Poaceae","Grass family","Graminoid","Annual, Perennial","grass","warmgrass","N"
"ARRA","Aralia racemosa","NA","ARRA","Aralia racemosa","American spikenard","Araliaceae","Ginseng family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"ARSE2","Arenaria serpyllifolia","NA","ARSE2","Arenaria serpyllifolia","thymeleaf sandwort","Caryophyllaceae","Pink family","Forb/herb","Annual","forb","annual-biennial","I"
"ARSE3","Aristolochia serpentaria","NA","ARSE3","Aristolochia serpentaria","Virginia snakeroot","Aristolochiaceae","Birthwort family","Forb/herb","Perennial","forb","spring","N"
"ARSP2","Aralia spinosa","NA","ARSP2","Aralia spinosa","devil's walkingstick","Araliaceae","Ginseng family","Shrub","Perennial","woody","NA","N"
"ARTR","Arisaema triphyllum","NA","ARTR","Arisaema triphyllum","Jack in the pulpit","Araceae","Arum family","Forb/herb","Perennial","forb","spring","N"
"ASAM","Asclepias amplexicaulis","NA","ASAM","Asclepias amplexicaulis","clasping milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","spring","N"
"ASCA","Asarum canadense","NA","ASCA","Asarum canadense","Canadian wildginger","Aristolochiaceae","Birthwort family","Forb/herb","Perennial","forb","spring","N"
"ASCA11","Astragalus canadensis","NA","ASCA11","Astragalus canadensis","Canadian milkvetch","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"ASCE","Astragalus ceramicus","NA","ASCE","Astragalus ceramicus","painted milkvetch","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"ASCLE","Asclepias","NA","ASCLE","Asclepias","milkweed","Asclepiadaceae","Milkweed family","NA","	Perennial","forb","summer","N"
"ASCR2","Astragalus crassicarpus","NA","ASCR2","Astragalus crassicarpus","groundplum milkvetch","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"ASDI4","Astragalus distortus","NA","ASDI4","Astragalus distortus","Ozark milkvetch","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"ASEX","Asclepias exaltata","NA","ASEX","Asclepias exaltata","poke milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","summer","N"
"ASGR3","Astragalus gracilis","NA","ASGR3","Astragalus gracilis","slender milkvetch","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"ASHI","Asclepias hirtella","NA","ASHI","Asclepias hirtella","green milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","NA","N"
"ASLAR","Astragalus laxmannii var. robustior","NA","ASLAR","Astragalus laxmannii var. robustior","prairie milkvetch","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"ASLO4","Astragalus lotiflorus","NA","ASLO4","Astragalus lotiflorus","lotus milkvetch","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
